T,lon,lat,Regime,Link
1994,-76.622,34.675,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IRENE2_plotsT1994_results.png
2124,-75.871,35.147,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IRENE2_plotsT2124_results.png
2116,-75.927,35.121,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IRENE2_plotsT2116_results.png
2075,-76.255,34.899,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IRENE2_plotsT2075_results.png
1945,-76.994,34.669,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IRENE2_plotsT1945_results.png
1209,-77.646,34.351,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IRENE2_plotsT1209_results.png
2175,-75.526,35.242,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IRENE2_plotsT2175_results.png
1203,-77.763,34.248,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IRENE2_plotsT1203_results.png
1805,-77.817,34.178,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IRENE2_plotsT1805_results.png
1197,-77.837,34.151,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IRENE2_plotsT1197_results.png
2149,-75.655,35.221,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IRENE2_plotsT2149_results.png
1844,-77.692,34.318,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IRENE2_plotsT1844_results.png
2193,-75.508,35.321,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IRENE2_plotsT2193_results.png
2143,-75.694,35.208,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IRENE2_plotsT2143_results.png
2209,-75.49,35.387,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IRENE2_plotsT2209_results.png
2110,-75.974,35.095,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IRENE2_plotsT2110_results.png
