T,lon,lat,Regime,% Vol,link
2727,-80.442,27.85,Inundation/Overwash,111,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2727_results.png
1638,-80.121,25.822,Collision,61,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1638_results.png
2774,-80.577,28.128,Inundation/Overwash,56,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2774_results.png
1765,-80.072,26.946,Inundation/Overwash,104,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1765_results.png
2949,-81.06,29.337,Inundation/Overwash,66,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2949_results.png
1474,-81.434,30.649,Inundation/Overwash,0,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1474_results.png
1729,-80.037,26.657,Collision,60,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1729_results.png
2624,-80.273,27.423,Inundation/Overwash,120,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2624_results.png
2894,-80.926,29.085,Inundation/Overwash,95,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2894_results.png
1241,-81.105,29.432,Inundation/Overwash,47,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1241_results.png
1463,-81.445,30.569,Inundation/Overwash,52,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1463_results.png
1488,-81.455,30.788,Inundation/Overwash,20,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1488_results.png
1740,-80.036,26.754,Collision,59,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1740_results.png
1756,-80.061,26.904,Collision,51,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1756_results.png
2729,-80.447,27.858,Inundation/Overwash,93,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2729_results.png
2830,-80.547,28.5,Inundation/Overwash,37,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2830_results.png
1672,-80.103,26.127,Collision,67,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1672_results.png
1733,-80.034,26.695,Collision,35,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1733_results.png
2946,-81.053,29.322,Inundation/Overwash,45,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2946_results.png
2964,-81.17,29.567,Inundation/Overwash,88,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2964_results.png
2485,-80.036,26.753,Collision,55,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2485_results.png
1668,-80.109,26.091,Inundation/Overwash,90,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1668_results.png
2509,-80.047,26.86,Collision,49,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2509_results.png
1664,-80.112,26.053,Inundation/Overwash,136,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1664_results.png
2410,-80.065,26.408,Collision,45,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2410_results.png
2814,-80.579,28.421,Inundation/Overwash,33,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2814_results.png
2623,-80.272,27.419,Inundation/Overwash,73,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2623_results.png
1678,-80.097,26.178,Collision,64,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1678_results.png
