T,lon,lat,Regime,Link
1226,-77.29,34.557,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IRENE_adv11/T1226_results.png
1941,-77.025,34.663,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IRENE_adv11/T1941_results.png
2203,-75.498,35.363,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IRENE_adv11/T2203_results.png
1218,-77.486,34.46,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IRENE_adv11/T1218_results.png
1950,-76.953,34.676,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IRENE_adv11/T1950_results.png
1869,-77.571,34.409,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IRENE_adv11/T1869_results.png
2070,-76.276,34.884,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IRENE_adv11/T2070_results.png
1963,-76.846,34.691,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IRENE_adv11/T1963_results.png
1228,-77.25,34.584,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IRENE_adv11/T1228_results.png
1882,-77.488,34.459,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IRENE_adv11/T1882_results.png
2186,-75.513,35.296,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IRENE_adv11/T2186_results.png
1232,-77.15,34.63,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IRENE_adv11/T1232_results.png
1832,-77.74,34.273,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IRENE_adv11/T1832_results.png
2029,-76.492,34.667,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IRENE_adv11/T2029_results.png
1913,-77.268,34.571,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IRENE_adv11/T1913_results.png
2021,-76.512,34.636,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IRENE_adv11/T2021_results.png
1215,-77.543,34.426,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IRENE_adv11/T1215_results.png
